Rank,Points,Votes,Name,Film,Group,"Group
Rank",Vote Distribution,Year,Place of Birth,Gender,Birthday,Deathday,Age,Release Date,Genres,ID
977,2,2,Willem Dafoe,Light Sleeper,7,49,11,1992,USA,2,1955-07-22,None,37,1992-08-21,"Drama, Crime",896
977,2,2,Greta Garbo,Grand Hotel,4,49,11,1932,Sweden,1,1905-09-18,1990-04-15,26,1932-04-12,"Drama, Romance",338
977,2,2,Marcello Mastroianni,One Way or Another,6,49,11,1976,Italy,2,1924-09-28,1996-12-19,51,1976-04-30,Drama,578
980,2,1,Boris Karloff,Targets,18,49,2,1968,UK,2,1887-11-23,1969-02-02,80,1968-05-15,"Thriller, Crime, Drama",106
980,2,1,Ralph Ineson,The Witch,19,48,2,2015,UK,2,1969-12-15,None,45,2015-01-23,"Horror, Drama, Mystery, History",730
980,2,1,Spring Byington,You Can't Take It With You,4,50,2,1938,USA,1,1886-10-17,1971-09-07,51,1938-08-23,"Comedy, Drama, Romance",832
980,2,1,Charles Laughton,The Private Life of Henry VIII.,13,50,2,1933,UK,2,1899-07-01,1962-12-15,34,1933-08-17,"Comedy, Drama, Romance, History",159
980,2,1,Tobey Maguire,Pawn Sacrifice,3,50,2,2014,USA,2,1975-06-27,None,39,2014-09-11,"Thriller, Drama",861
980,2,1,Andie MacDowell,Short Cuts,18,49,2,1993,USA,1,1958-04-21,None,35,1993-09-05,"Comedy, Drama",38
980,2,1,Giuliano Gemma,The Desert of the Tartars,17,48,2,1976,Italy,2,1938-09-02,2013-10-01,38,1976-10-29,History,327
980,2,1,Arnold Schwarzenegger,Commando,16,50,2,1985,Austria,2,1947-07-30,None,38,1985-10-03,"Action, Adventure, Thriller",68
988,1,1,Melvil Poupaud,Laurence Anyways,14,49,1,2012,France,2,1973-01-26,None,39,2012-05-18,"Drama, Romance",625
988,1,1,Brian Donlevy,The Great McGinty,6,50,1,1940,UK,2,1901-02-09,1972-04-05,39,1940-07-24,Comedy,115
988,1,1,Billie Burke,Topper,2,50,1,1937,USA,1,1884-08-07,1970-05-15,52,1937-07-16,"Comedy, Fantasy, Romance",101
991,0,0,Darya Zhovner,Closeness,17,49,,2017,Russia,1,1992-09-20,None,24,2017-05-09,Drama,927
991,0,0,Martin Balsam,Confessions of a Police Captain,17,49,,1971,USA,2,1919-11-04,1996-02-13,51,1971-03-26,"Crime, Drama",608
991,0,0,Juli Jakab,Sunset,7,50,,2018,Hungary,1,1988-01-01,None,30,2018-09-02,"Mystery, Drama, History",491
991,0,0,Lucian Teodor Rus,Scarred Hearts,11,50,,2016,None,0,None,None,0,2016-08-07,Drama,565
991,0,0,Giacomo Rizzo,The Family Friend,11,49,,2006,Italy,2,1939-01-17,None,67,2006-10-01,Drama,324
991,0,0,Mariana di Girolamo,Ema,19,49,,2019,Chile,1,1990-10-22,None,28,2019-08-31,Drama,585
991,0,0,Massimo Troisi,What Time Is It?,8,50,,1989,Italy,0,1953-02-19,1994-06-04,36,1989-09-27,"Comedy, Drama",614
991,0,0,Meryl Streep,Out of Africa,19,49,,1985,USA,1,1949-06-22,None,36,1985-12-20,"History, Romance, Drama",627
991,0,0,Christopher Walken,The Comfort of Strangers,14,50,,1990,USA,2,1943-03-31,None,46,1990-01-01,"Romance, Drama",182
991,0,0,Queen Latifah,Set It Off,15,50,,1996,USA,1,1970-03-18,None,26,1996-11-06,"Crime, Drama, Thriller",726
991,0,0,Riccardo Cucciolla,Dirty Money,20,51,,1972,Italy,2,1924-09-05,1999-09-17,48,1972-09-30,"Crime, Action, Thriller",737
